Hornbuckle Mitchell Holdings,,Leicester,,Financial adviser,"11,742,025"
Mattioli Woods,,Leicester,,Pensions consultants,"13,678,033"
Mark Group,,Leicester,,Insulation work activities,"87,784,942"
Checkland Kindleysides,,Leicester,,Design agency,"15,411,008"
Eurokey Recycling,,Leicester,,Recycling services,"16,854,025"
Wolsey,,Leicester,,One of oldest textile firms in the world,"8,945,000"
Shoe Zone Group,,Leicester,,Footwear and leather goods,"239,071,000"
Techtest,,Leominster,,Manufacture of television and radio transmitters,"13,482,079"
Health Management,,Lewes,,Human health activities,"17,604,092"
Palletways,,Lichfield,,Express distribution services,"111,837,000"
Alphapeak,,Lichfield,,Motor sport engineering,"20,403,199"
Branston Holdings,,Lincoln,,Potatoes,"108,041,643"
Danwood Group,,Lincoln,,Office equipment supplier,"151,868,000"
Stackhouse Poland Holdings,,Liphook,,Non-life insurance,"7,645,389"
John Mcquillan (Contracts),,Lisburn,,General construction and civil engineering,"25,971,785"
Harrisons Dairies,,Liverpool,,Dairies,"7,838,750"
Millgrain,,Liverpool,,Manufacture of grain mill products,"70,256,477"
OSS Group,,Liverpool,,Specialises in waste oil collection,"20,238,715"
The Bluecoat,,Liverpool,,Talent showcase charity,"2,158,901"
TJ Morris,,Liverpool,,Trades as Home Bargains,"590,320,146"
Everton In The Community,,Liverpool,,Sports club outreach,"1,671,737"
Baa Bar Group,,Liverpool,,Bars,"9,651,678"
Stanley International Betting,,Liverpool,,Gambling and betting activities,"318,499,679"
Touch Emas,,Livingston,,Bionic hand device,"7,035,990"
Craneware,,Livingston,,Pharmacy supplies,"28,397,000"
HBL (Holdings),,Llandudno,,Gambling and betting activities,"21,760,792"
Tinopolis,,LLANELLI,,TV production,"71,339,000"
Rachel'S Dairy,,Llanon,,Dairy products,"21,475,000"
Wynnstay Group,,Llansantffraid,,Manufacture of prepared food for farm animals,"243,744,000"
Grimme Butcher Jones,,London,,Non-life insurance,"1,655,183"
Management Diagnostics,,London,,Business development software,"4,821,869"
Elara Capital,,London,,Investment bank focused on India,"5,088,555"
Altius Holdings,,London,,Commodity finance and extraction,"6,695,667"
Tyler Capital,,London,,Trading platforms,"6,707,828"
Downing Corporate Finance,,London,,Corporate finance,"8,038,770"
City Credit Capital (Uk),,London,,Forex trader,"8,419,599"
SVS Securities,,London,,Stockbroker,"9,096,500"
QC Trustees,,London,,Queens Club (tennis),"9,124,721"
Fox-Davies Capital,,London,,Broker,"9,132,120"
Novus Capital Markets,,London,,Security broking and fund management,"10,260,176"
GH Financials,,London,,Security broking and fund management,"10,709,723"
Towerbrook Capital Partners (U.K.),,London,,Investment management,"10,974,000"
Greenpark Capital,,London,,Security broking and fund management,"10,999,518"
Brains Inc,,London,,Financial service provider,"13,229,851"
Fixnetix,,London,,Trading platforms,"15,615,325"
